Type,Name,WorkProduct,Owner,Priority,Package,Risk,Description,Notes,Objective,Build,DateRun,Verdict,Duration
TestCase,Updated Totals,Calculate Split Shipping,tara@acme.com,Useful,Shipping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Fail,
TestCase,Calculate shipping costs for multiple destinations,Calculate Split Shipping,tom@acme.com,Critical,Shipping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Pass,
TestCase,Update Total Shipping Cost,Calculate Split Shipping,tom@acme.com,Important,Shipping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Pass,
TestCase,Shipping Calculations,Calculate Split Shipping,tom@acme.com,Important,Shipping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Pass
TestCase,Check Invoice Creation,Ship Multi-Site Orders,tara@acme.com,Important,Shipping,Low,,,,,,
Result,,,tom@acme.com,,,,,,,113,-3,Pass
Result,,,tom@acme.com,,,,,,,114,-2,Pass
TestCase,Tracking Information,Ship Multi-Site Orders,tara@acme.com,Important,Shipping,Low,,,,,,
Result,,,tom@acme.com,,,,,,,113,-3,Pass
Result,,,tom@acme.com,,,,,,,114,0,Fail
TestCase,Order Verification,Ship Multi-Site Orders,tara@acme.com,Critical,Shipping,Low,,,,,,
Result,,,tony@acme.com,,,,,,,113,-3,Pass
Result,,,tom@acme.com,,,,,,,114,0,Pass
TestCase,Order Verification - Backordered Item Handling,Ship Multi-Site Orders,tara@acme.com,Critical,Shipping,Low,,,,,,
Result,,,tony@acme.com,,,,,,,113,-3,Fail
Result,,,tom@acme.com,,,,,,,114,0,Fail
TestCase,Priority Shipping chosen on a per-package basis,Ship Multi-Site Orders,tara@acme.com,Important,Shipping,Low,,,,,,
Result,,,tony@acme.com,,,,,,,113,-2,Fail
Result,,,tom@acme.com,,,,,,,114,0,Fail
TestCase,Priority Shipping GUI,Choosing to Ship to Multiple Destinations,tara@acme.com,Critical,Shipping,Low,,,,,,
Result,,,,,,,,,,113,-3,Pass
Result,,,,,,,,,,114,-2,Pass
Result,,,,,,,,,,115,-1,Pass
TestCase,Default Shipping - Ground,Allow Priority Shipping Options,tara@acme.com,Useful,Shipping,Low,,,,,,
Result,,,tara@acme.com,,,,,,,117,-2,Fail
Result,,,tara@acme.com,,,,,,,118,-1,Fail
TestCase,Priority Shipping Options for each Destination,Choosing to Ship to Multiple Destinations,tara@acme.com,Critical,Shipping,Low,,,,,,
Result,,,tara@acme.com,,,,,,,117,-1,Pass
Result,,,tara@acme.com,,,,,,,118,0,Pass
TestCase,Max Number of Shipping Destinations,Choosing to Ship to Multiple Destinations,,Useful,Shipping,Low,,,,,,
Result,,,,,,,,,,113,-3,Pass
Result,,,,,,,,,,114,-2,Pass
Result,,,,,,,,,,115,-1,Fail
TestCase,GUI - Multi-Site Shipping Options,Choosing to Ship to Multiple Destinations,tony@acme.com,Critical,Shipping,Low,,,,,,
Result,,,,,,,,,,113,-3,Pass
Result,,,,,,,,,,114,-2,Pass
Result,,,,,,,,,,115,-1,Fail
