Type,Name,Parent,Owner,Status,Blocked,Release,Iteration,PlanEstimate,TaskEstimate,TaskToDo,TaskActuals,Rank,Package,Description,Notes
Story,Log-in to Secured Website,Epic: Login/Logoff,paul@acme.com,Defined,,"Release 1 (1,2,3,4)",Iteration 1 (R1),3,,,,10,Account,"As a customer, I would like to be able to login to the shopping cart knowing that my personal information is private and secure",
Task,Code,,dave@acme.com,Completed,,,,,7,0,8,,,,
Task,Create Automated Tests,,tara@acme.com,Completed,,,,,3,0,3.5,,,,
Task,Doc,,wendy@acme.com,Completed,,,,,2,0,2,,,,
Story,Log-off Website,Epic: Login/Logoff,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 1 (R1),4,,,,11,Account,"As a customer, I would like to be able to login to the shopping cart knowing that my personal information is private and secure",
Task,Code,,dave@acme.com,Completed,,,,,8,0,10,,,,
Task,Create Automated Tests,,tom@acme.com,Completed,,,,,4,0,3,,,,
Task,Doc,,wendy@acme.com,Completed,,,,,1,0,1.5,,,,
Story,Spike: Purchase your Items,,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 2 (R1),2,,,,14,Shopping,Research should be performed on possible implementations of a shopping cart,
Task,Code,,dudley@acme.com,Completed,,,,,8,0,9.5,,,,
Story,Shop for Items,Epic: Shopping,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 2 (R1),3,,,,15,Shopping,A customer should be able to browse the list of all available products to find the items they wish to purchase. The system should provide suggestions to the customer based on previous purchases and items currently in his/her shopping cart.,
Task,Code,,dave@acme.com,Completed,,,,,4,0,4,,,,
Task,Create Automated Tests,,tara@acme.com,Completed,,,,,3,0,3,,,,
Task,Doc,,wendy@acme.com,Completed,,,,,1,0,3,,,,
Story,Data fields for Shipping information,Epic: Basic Shipping,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 2 (R1),2,,,,16,Shipping,The customer should enter basic shipping information,
Task,Code,,dudley@acme.com,Completed,,,,,3,0,3,,,
Task,Create Automated Tests,,tony@acme.com,Completed,,,,,3,0,4,,,
Task,Doc,,wendy@acme.com,Completed,,,,,1,0,1,,,
Story,Check the Status of Your Order,,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 2 (R1),3,,,,17,Account,"As a customer, I want the status of my order to be presented to me in the form of a simple report that is easily accessed on entrance to the shopping cart.  The report should include details regarding shipping information (tracking numbers and estimated arrival dates), the number of items I purchased (quantity and unit price), as well as the total amount spent."
Task,Code,,dave@acme.com,Completed,,,,,4,0,4,,,
Task,Create Automated Tests,,tara@acme.com,Completed,,,,,2,0,3,,,
Task,Doc,,wendy@acme.com,Completed,,,,,1,0,0.5,,,
Story,Ship Single-Site Order,Epic: Basic Shipping,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 3 (R1),5,,,,19,Shipping,"On completion of a transaction, the shipping department should ship the items to the appropriate destination"
Task,Code,,dave@acme.com,Completed,,,,,4,0,3,,,
Task,Create Automated Tests,,tara@acme.com,Completed,,,,,2,0,3,,,
Task,Doc,,wendy@acme.com,Completed,,,,,1,0,1,,,
Story,Payment - Supported Credit Cards,Epic: Payment Methods,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 3 (R1),4,,,,20,Shopping,"To provide the broadest coverage of payment methods for the customer, the following credit cards should be supported: <ul><li>Visa</li><li>Master Card</li><li>Discover</li></ul>"
Task,Code,,dudley@acme.com,Completed,,,,,5,0,9,,,
Task,Create Automated Tests,,tony@acme.com,Completed,,,,,7,0,6,,,
Task,Doc,,wendy@acme.com,Completed,,,,,2,0,1,,,
Story,Create Deployment Scripts,,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 4 (R1),3,,,,21,,Create Deployment scripts for the first release
Task,Code,,dudley@acme.com,Completed,,,,,8,0,7,,,
Task,Create Automated Tests,,tony@acme.com,Completed,,,,,2,0,1,,,
Story,Mauna Loa Hardening,,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 4 (R1),4,,,,22,,
Task,Code,,dudley@acme.com,Completed,,,,,8,0,7,,,
Task,Regression Testing,,tony@acme.com,Completed,,,,,3,0,4,,,
Story,Resolve Performance Issues,,paul@acme.com,Completed,,"Release 1 (1,2,3,4)",Iteration 4 (R1),2,,,,23,,
Task,Code,,dudley@acme.com,Completed,,,,,5,0,5,,,
Story,Website must be available 24x7,Epic: Performance and Scalability,paul@acme.com,Defined,,"Release 2 (5,6,7)",Iteration 5 (R2),3,,,,26,,"In order for customers to be able to order any time they want, the website should be available 24 hours a day, 7 days a week."
Task,Code,,dave@acme.com,Completed,,,,,5,0,5,,,
Task,Create Automated Tests,,tony@acme.com,Completed,,,,,4,0,4,,,
